,1 iteration,,,2 iteration,,,3 iteration,,,
epochs,correct,non correct,percent correct,correct,non correct,percent correct,correct,non correct,percent correct,percent_average
10,172,102,62.77,174,100,63.5,174,100,63.5,63.26
50,100,174,36.5,174,100,63.5,174,100,63.5,54.5
100,174,100,63.5,174,100,63.5,174,100,63.5,63.5
200,174,100,63.5,174,100,63.5,174,100,63.5,63.5
500,174,100,63.5,174,100,63.5,174,100,63.5,63.5
1000,174,100,63.5,174,100,63.5,174,100,63.5,63.5
2000,174,100,63.5,174,100,63.5,174,100,63.5,63.5
5000,209,65,76.28,227,47,82.85,235,39,85.77,81.63
10000,240,34,87.59,235,39,85.77,238,36,86.86,86.74
12000,240,34,87.59,240,34,87.59,239,35,87.23,87.47
15000,241,33,87.96,241,33,87.96,241,33,87.96,87.96
20000,241,33,87.96,239,35,87.23,240,34,87.59,87.59
50000,240,34,87.59,237,37,86.5,239,35,87.23,87.11
100000,238,36,86.86,237,37,86.5,240,34,87.59,86.98
