,1 iteration,,,2 iteration,,,3 iteration,,,
hidden_layers,correct,non correct,percent correct,correct,non correct,percent correct,correct,non correct,percent correct,percent_average
2,231,43,84.31,233,41,85.04,239,35,87.23,85.53
3,238,36,86.86,238,36,86.86,236,38,86.13,86.62
5,238,36,86.86,238,36,86.86,239,35,87.23,86.98
10,239,35,87.23,238,36,86.86,240,34,87.59,87.23
20,240,34,87.59,238,36,86.86,240,34,87.59,87.35
50,240,34,87.59,239,35,87.23,240,34,87.59,87.47
100,240,34,87.59,240,34,87.59,240,34,87.59,87.59
200,240,34,87.59,240,34,87.59,240,34,87.59,87.59
500,240,34,87.59,240,34,87.59,240,34,87.59,87.59
1000,240,34,87.59,240,34,87.59,240,34,87.59,87.59
