,1 iteration,,,2 iteration,,,3 iteration,,,
learning_rate,correct,non correct,percent correct,correct,non correct,percent correct,correct,non correct,percent correct,percent_average
0.1,240,34,87.59,237,37,86.5,238,36,86.86,86.98
0.2,240,34,87.59,241,33,87.96,240,34,87.59,87.71
0.3,239,35,87.23,240,34,87.59,239,35,87.23,87.35
0.4,240,34,87.59,240,34,87.59,239,35,87.23,87.47
0.5,240,34,87.59,239,35,87.23,239,35,87.23,87.35
0.6,238,36,86.86,238,36,86.86,238,36,86.86,86.86
0.7,240,34,87.59,239,35,87.23,239,35,87.23,87.35
0.8,238,36,86.86,239,35,87.23,239,35,87.23,87.11
0.9,238,36,86.86,238,36,86.86,238,36,86.86,86.86
1,238,36,86.86,238,36,86.86,239,35,87.23,86.98
