Lp.,iteracja,Nazwa algorytmu,Liczba epok,Wspolczynnik uczenia,Liczba warstw ukrytych,Czas uczenia [ms],Poprawnie sklasyfikowane,Niepoprawnie sklasyfikowane,Poprawnie sklasyfikowane [%]
1,1,QuasiNewton,10,-,1,16625.58,127,78,61.95
2,1,QuasiNewton,10,-,3,25413.5,127,78,61.95
3,1,QuasiNewton,10,-,5,37589.59,127,78,61.95
4,1,QuasiNewton,20,-,1,14898.79,173,32,84.39
5,1,QuasiNewton,20,-,3,26220.03,127,78,61.95
6,1,QuasiNewton,20,-,5,37639.86,127,78,61.95
7,1,QuasiNewton,30,-,1,15741.75,174,31,84.88
8,1,QuasiNewton,30,-,3,26398.56,172,33,83.9
9,1,QuasiNewton,30,-,5,38337.27,127,78,61.95
10,1,QuasiNewton,50,-,1,16188.64,176,29,85.85
11,1,QuasiNewton,50,-,3,27225.11,172,33,83.9
12,1,QuasiNewton,50,-,5,40343.8,127,78,61.95
13,1,QuasiNewton,100,-,1,23044.81,181,24,88.29
14,1,QuasiNewton,100,-,3,29476.52,178,27,86.83
15,1,QuasiNewton,100,-,5,41011.84,172,33,83.9
16,1,QuasiNewton,150,-,1,16760.69,175,30,85.37
17,1,QuasiNewton,150,-,3,28963.32,177,28,86.34
18,1,QuasiNewton,150,-,5,44428.4,180,25,87.8
19,1,QuasiNewton,200,-,1,15153.4,178,27,86.83
20,1,QuasiNewton,200,-,3,29559.22,177,28,86.34
21,1,QuasiNewton,200,-,5,45235.98,176,29,85.85
22,1,QuasiNewton,250,-,1,17622.47,181,24,88.29
23,1,QuasiNewton,250,-,3,29087.51,174,31,84.88
24,1,QuasiNewton,250,-,5,58815.38,174,31,84.88
25,1,QuasiNewton,300,-,1,17016.93,175,30,85.37
26,1,QuasiNewton,300,-,3,29523.32,175,30,85.37
27,1,QuasiNewton,300,-,5,45858.95,145,60,70.73
28,1,QuasiNewton,350,-,1,18146.47,176,29,85.85
29,1,QuasiNewton,350,-,3,32533.8,177,28,86.34
30,1,QuasiNewton,350,-,5,52887.38,181,24,88.29
31,1,QuasiNewton,400,-,1,17742.08,176,29,85.85
32,1,QuasiNewton,400,-,3,34618.73,127,78,61.95
33,1,QuasiNewton,400,-,5,64946.18,181,24,88.29
34,1,QuasiNewton,450,-,1,17988.93,178,27,86.83
35,1,QuasiNewton,450,-,3,33805.39,171,34,83.41
36,1,QuasiNewton,450,-,5,58938.18,175,30,85.37
37,1,QuasiNewton,500,-,1,20111.83,179,26,87.32
38,1,QuasiNewton,500,-,3,31596.76,172,33,83.9
39,1,QuasiNewton,500,-,5,62195.4,169,36,82.44
40,1,GradientDescent,10,0.01,1,546.39,127,78,61.95
41,1,GradientDescent,10,0.2,1,305.4,127,78,61.95
42,1,GradientDescent,10,0.4,1,310.07,127,78,61.95
43,1,GradientDescent,10,0.6,1,304.14,127,78,61.95
44,1,GradientDescent,10,0.9,1,300.15,127,78,61.95
45,1,GradientDescent,10,0.01,3,552.77,78,127,38.05
46,1,GradientDescent,10,0.2,3,559.75,127,78,61.95
47,1,GradientDescent,10,0.4,3,557.01,127,78,61.95
48,1,GradientDescent,10,0.6,3,553.9,78,127,38.05
49,1,GradientDescent,10,0.9,3,548.67,127,78,61.95
50,1,GradientDescent,10,0.01,5,853.16,127,78,61.95
51,1,GradientDescent,10,0.2,5,845.0,127,78,61.95
52,1,GradientDescent,10,0.4,5,845.65,127,78,61.95
53,1,GradientDescent,10,0.6,5,838.26,127,78,61.95
54,1,GradientDescent,10,0.9,5,834.14,127,78,61.95
55,1,GradientDescent,20,0.01,1,295.93,127,78,61.95
56,1,GradientDescent,20,0.2,1,298.78,61,144,29.76
57,1,GradientDescent,20,0.4,1,295.62,127,78,61.95
58,1,GradientDescent,20,0.6,1,298.28,127,78,61.95
59,1,GradientDescent,20,0.9,1,1838.18,127,78,61.95
60,1,GradientDescent,20,0.01,3,564.89,127,78,61.95
