Lp.,iteracja,Nazwa algorytmu,Liczba epok,Wspolczynnik uczenia,Liczba warstw ukrytych,Czas uczenia [ms],Poprawnie sklasyfikowane,Niepoprawnie sklasyfikowane,Poprawnie sklasyfikowane [%]
220,1,ConjugateGradient,10,0.01,1,431.69,127,78,61.95
221,1,ConjugateGradient,10,0.2,1,397.72,127,78,61.95
222,1,ConjugateGradient,10,0.4,1,398.52,127,78,61.95
223,1,ConjugateGradient,10,0.6,1,406.83,127,78,61.95
224,1,ConjugateGradient,10,0.9,1,392.89,127,78,61.95
225,1,ConjugateGradient,10,0.01,3,648.11,127,78,61.95
226,1,ConjugateGradient,10,0.2,3,634.41,127,78,61.95
227,1,ConjugateGradient,10,0.4,3,628.3,127,78,61.95
228,1,ConjugateGradient,10,0.6,3,1673.54,127,78,61.95
229,1,ConjugateGradient,10,0.9,3,643.82,127,78,61.95
230,1,ConjugateGradient,10,0.01,5,903.29,127,78,61.95
231,1,ConjugateGradient,10,0.2,5,886.19,127,78,61.95
232,1,ConjugateGradient,10,0.4,5,878.97,127,78,61.95
233,1,ConjugateGradient,10,0.6,5,878.64,127,78,61.95
234,1,ConjugateGradient,10,0.9,5,876.8,127,78,61.95
235,1,ConjugateGradient,20,0.01,1,399.03,127,78,61.95
236,1,ConjugateGradient,20,0.2,1,396.57,127,78,61.95
237,1,ConjugateGradient,20,0.4,1,1378.26,127,78,61.95
238,1,ConjugateGradient,20,0.6,1,420.77,127,78,61.95
239,1,ConjugateGradient,20,0.9,1,411.4,127,78,61.95
240,1,ConjugateGradient,20,0.01,3,658.51,127,78,61.95
241,1,ConjugateGradient,20,0.2,3,654.82,127,78,61.95
242,1,ConjugateGradient,20,0.4,3,644.71,127,78,61.95
243,1,ConjugateGradient,20,0.6,3,631.91,127,78,61.95
244,1,ConjugateGradient,20,0.9,3,635.73,127,78,61.95
245,1,ConjugateGradient,20,0.01,5,888.7,78,127,38.05
246,1,ConjugateGradient,20,0.2,5,882.57,127,78,61.95
247,1,ConjugateGradient,20,0.4,5,880.72,127,78,61.95
248,1,ConjugateGradient,20,0.6,5,2127.45,127,78,61.95
249,1,ConjugateGradient,20,0.9,5,904.43,127,78,61.95
250,1,ConjugateGradient,50,0.01,1,420.67,127,78,61.95
251,1,ConjugateGradient,50,0.2,1,415.28,127,78,61.95
252,1,ConjugateGradient,50,0.4,1,416.82,127,78,61.95
253,1,ConjugateGradient,50,0.6,1,418.27,131,74,63.9
254,1,ConjugateGradient,50,0.9,1,422.2,172,33,83.9
255,1,ConjugateGradient,50,0.01,3,656.89,127,78,61.95
256,1,ConjugateGradient,50,0.2,3,661.84,127,78,61.95
257,1,ConjugateGradient,50,0.4,3,655.8,127,78,61.95
258,1,ConjugateGradient,50,0.6,3,660.45,127,78,61.95
259,1,ConjugateGradient,50,0.9,3,660.08,127,78,61.95
260,1,ConjugateGradient,50,0.01,5,1923.06,127,78,61.95
261,1,ConjugateGradient,50,0.2,5,926.38,127,78,61.95
262,1,ConjugateGradient,50,0.4,5,924.52,127,78,61.95
263,1,ConjugateGradient,50,0.6,5,917.49,127,78,61.95
264,1,ConjugateGradient,50,0.9,5,913.87,127,78,61.95
265,1,ConjugateGradient,100,0.01,1,438.08,127,78,61.95
266,1,ConjugateGradient,100,0.2,1,437.55,138,67,67.32
