Liczba epok,Wspolczynnik uczenia,Czas uczenia [ms],Poprawnie sklasyfikowane,Niepoprawnie sklasyfikowane,Poprawnie sklasyfikowane [%]
10,0.01,431.69,127,78,61.95
10,0.2,397.72,127,78,61.95
10,0.4,398.52,127,78,61.95
10,0.6,406.83,127,78,61.95
10,0.9,392.89,127,78,61.95
20,0.01,399.03,127,78,61.95
20,0.2,396.57,127,78,61.95
20,0.4,1378.26,127,78,61.95
20,0.6,420.77,127,78,61.95
20,0.9,411.4,127,78,61.95
50,0.01,420.67,127,78,61.95
50,0.2,415.28,127,78,61.95
50,0.4,416.82,127,78,61.95
50,0.6,418.27,131,74,63.9
50,0.9,422.2,172,33,83.9
100,0.01,438.08,127,78,61.95
100,0.2,437.55,138,67,67.32
100,0.4,427.8,166,39,80.98
100,0.6,435.82,175,30,85.37
100,0.9,440.52,174,31,84.88
200,0.01,485.95,127,78,61.95
200,0.2,480.64,176,29,85.85
200,0.4,523.22,174,31,84.88
200,0.6,544.06,177,28,86.34
200,0.9,486.55,180,25,87.8
500,0.01,612.21,127,78,61.95
500,0.2,595.13,175,30,85.37
500,0.4,601.5,178,27,86.83
500,0.6,614.48,172,33,83.9
500,0.9,590.6,178,27,86.83
1000,0.01,1765.37,127,78,61.95
1000,0.2,814.65,177,28,86.34
1000,0.4,801.78,176,29,85.85
1000,0.6,780.67,127,78,61.95
1000,0.9,786.44,171,34,83.41
2000,0.01,1230.29,146,59,71.22
2000,0.2,1192.01,177,28,86.34
2000,0.4,1189.77,176,29,85.85
2000,0.6,1179.37,175,30,85.37
2000,0.9,1217.13,180,25,87.8
5000,0.01,2323.74,174,31,84.88
5000,0.2,2350.41,181,24,88.29
5000,0.4,3270.78,182,23,88.78
5000,0.6,2439.31,186,19,90.73
5000,0.9,2314.46,173,32,84.39
10000,0.01,4399.35,178,27,86.83
10000,0.2,4402.52,182,23,88.78
10000,0.4,4357.62,180,25,87.8
10000,0.6,4380.68,184,21,89.76
10000,0.9,4411.99,178,27,86.83
20000,0.01,8324.24,177,28,86.34
20000,0.2,8302.77,182,23,88.78
20000,0.4,8197.23,177,28,86.34
20000,0.6,8189.81,184,21,89.76
20000,0.9,8136.49,179,26,87.32
50000,0.01,20288.14,177,28,86.34
50000,0.2,20165.91,175,30,85.37
50000,0.4,20106.37,186,19,90.73
50000,0.6,20285.31,184,21,89.76
50000,0.9,19875.61,189,16,92.2
10,0.01,501.29,126,79,61.46
10,0.2,440.24,127,78,61.95
10,0.4,443.42,127,78,61.95
10,0.6,441.81,127,78,61.95
10,0.9,437.42,127,78,61.95
20,0.01,454.73,127,78,61.95
20,0.2,448.57,127,78,61.95
20,0.4,452.4,127,78,61.95
20,0.6,444.41,127,78,61.95
20,0.9,448.89,127,78,61.95
50,0.01,452.89,127,78,61.95
50,0.2,456.14,127,78,61.95
50,0.4,455.56,127,78,61.95
50,0.6,454.44,134,71,65.37
50,0.9,469.86,175,30,85.37
100,0.01,478.25,127,78,61.95
100,0.2,1738.84,172,33,83.9
100,0.4,494.69,173,32,84.39
100,0.6,500.13,177,28,86.34
100,0.9,487.85,169,36,82.44
