Lp.,iteracja,Nazwa algorytmu,Liczba epok,Wspolczynnik uczenia,Liczba warstw ukrytych,Czas uczenia [ms],Poprawnie sklasyfikowane,Niepoprawnie sklasyfikowane,Poprawnie sklasyfikowane [%]
40,1,GradientDescent,10,0.01,1,546.39,127,78,61.95
41,1,GradientDescent,10,0.2,1,305.4,127,78,61.95
42,1,GradientDescent,10,0.4,1,310.07,127,78,61.95
43,1,GradientDescent,10,0.6,1,304.14,127,78,61.95
44,1,GradientDescent,10,0.9,1,300.15,127,78,61.95
45,1,GradientDescent,10,0.01,3,552.77,78,127,38.05
46,1,GradientDescent,10,0.2,3,559.75,127,78,61.95
47,1,GradientDescent,10,0.4,3,557.01,127,78,61.95
48,1,GradientDescent,10,0.6,3,553.9,78,127,38.05
49,1,GradientDescent,10,0.9,3,548.67,127,78,61.95
50,1,GradientDescent,10,0.01,5,853.16,127,78,61.95
51,1,GradientDescent,10,0.2,5,845.0,127,78,61.95
52,1,GradientDescent,10,0.4,5,845.65,127,78,61.95
53,1,GradientDescent,10,0.6,5,838.26,127,78,61.95
54,1,GradientDescent,10,0.9,5,834.14,127,78,61.95
55,1,GradientDescent,20,0.01,1,295.93,127,78,61.95
56,1,GradientDescent,20,0.2,1,298.78,61,144,29.76
57,1,GradientDescent,20,0.4,1,295.62,127,78,61.95
58,1,GradientDescent,20,0.6,1,298.28,127,78,61.95
59,1,GradientDescent,20,0.9,1,1838.18,127,78,61.95
60,1,GradientDescent,20,0.01,3,564.89,127,78,61.95
61,1,GradientDescent,20,0.2,3,561.11,127,78,61.95
62,1,GradientDescent,20,0.4,3,556.8,127,78,61.95
63,1,GradientDescent,20,0.6,3,555.84,127,78,61.95
64,1,GradientDescent,20,0.9,3,552.57,127,78,61.95
65,1,GradientDescent,20,0.01,5,869.01,127,78,61.95
66,1,GradientDescent,20,0.2,5,858.86,127,78,61.95
67,1,GradientDescent,20,0.4,5,857.8,127,78,61.95
68,1,GradientDescent,20,0.6,5,849.72,127,78,61.95
69,1,GradientDescent,20,0.9,5,855.28,127,78,61.95
70,1,GradientDescent,50,0.01,1,309.5,78,127,38.05
71,1,GradientDescent,50,0.2,1,313.24,127,78,61.95
72,1,GradientDescent,50,0.4,1,310.25,127,78,61.95
73,1,GradientDescent,50,0.6,1,304.84,127,78,61.95
74,1,GradientDescent,50,0.9,1,307.46,127,78,61.95
75,1,GradientDescent,50,0.01,3,556.13,78,127,38.05
76,1,GradientDescent,50,0.2,3,554.89,127,78,61.95
77,1,GradientDescent,50,0.4,3,553.32,127,78,61.95
78,1,GradientDescent,50,0.6,3,553.71,127,78,61.95
79,1,GradientDescent,50,0.9,3,2239.84,127,78,61.95
80,1,GradientDescent,50,0.01,5,900.66,127,78,61.95
81,1,GradientDescent,50,0.2,5,889.38,127,78,61.95
82,1,GradientDescent,50,0.4,5,889.95,127,78,61.95
83,1,GradientDescent,50,0.6,5,875.51,127,78,61.95
84,1,GradientDescent,50,0.9,5,874.65,127,78,61.95
85,1,GradientDescent,100,0.01,1,326.34,119,86,58.05
86,1,GradientDescent,100,0.2,1,325.84,127,78,61.95
87,1,GradientDescent,100,0.4,1,319.94,127,78,61.95
88,1,GradientDescent,100,0.6,1,336.02,127,78,61.95
89,1,GradientDescent,100,0.9,1,331.62,127,78,61.95
90,1,GradientDescent,100,0.01,3,584.37,78,127,38.05
91,1,GradientDescent,100,0.2,3,583.92,127,78,61.95
92,1,GradientDescent,100,0.4,3,582.14,127,78,61.95
93,1,GradientDescent,100,0.6,3,588.38,127,78,61.95
94,1,GradientDescent,100,0.9,3,586.61,127,78,61.95
95,1,GradientDescent,100,0.01,5,891.72,127,78,61.95
96,1,GradientDescent,100,0.2,5,2607.89,127,78,61.95
97,1,GradientDescent,100,0.4,5,922.11,127,78,61.95
98,1,GradientDescent,100,0.6,5,928.67,127,78,61.95
99,1,GradientDescent,100,0.9,5,918.72,127,78,61.95
100,1,GradientDescent,200,0.01,1,361.14,127,78,61.95
101,1,GradientDescent,200,0.2,1,363.79,127,78,61.95
102,1,GradientDescent,200,0.4,1,362.75,127,78,61.95
103,1,GradientDescent,200,0.6,1,355.34,127,78,61.95
104,1,GradientDescent,200,0.9,1,361.99,127,78,61.95
105,1,GradientDescent,200,0.01,3,634.98,127,78,61.95
106,1,GradientDescent,200,0.2,3,634.59,127,78,61.95
107,1,GradientDescent,200,0.4,3,636.04,127,78,61.95
108,1,GradientDescent,200,0.6,3,638.66,127,78,61.95
109,1,GradientDescent,200,0.9,3,633.23,127,78,61.95
110,1,GradientDescent,200,0.01,5,969.87,78,127,38.05
111,1,GradientDescent,200,0.2,5,959.22,127,78,61.95
112,1,GradientDescent,200,0.4,5,2398.3,127,78,61.95
113,1,GradientDescent,200,0.6,5,983.41,127,78,61.95
114,1,GradientDescent,200,0.9,5,973.72,127,78,61.95
115,1,GradientDescent,500,0.01,1,452.66,127,78,61.95
116,1,GradientDescent,500,0.2,1,453.08,127,78,61.95
117,1,GradientDescent,500,0.4,1,449.15,127,78,61.95
118,1,GradientDescent,500,0.6,1,453.15,127,78,61.95
119,1,GradientDescent,500,0.9,1,453.89,153,52,74.63
120,1,GradientDescent,500,0.01,3,777.0,127,78,61.95
121,1,GradientDescent,500,0.2,3,773.61,127,78,61.95
122,1,GradientDescent,500,0.4,3,775.72,127,78,61.95
123,1,GradientDescent,500,0.6,3,781.76,127,78,61.95
124,1,GradientDescent,500,0.9,3,775.8,127,78,61.95
125,1,GradientDescent,500,0.01,5,1218.2,127,78,61.95
126,1,GradientDescent,500,0.2,5,3286.9,127,78,61.95
127,1,GradientDescent,500,0.4,5,1866.28,127,78,61.95
128,1,GradientDescent,500,0.6,5,1772.5,127,78,61.95
129,1,GradientDescent,500,0.9,5,1277.1,127,78,61.95
130,1,GradientDescent,1000,0.01,1,608.91,127,78,61.95
131,1,GradientDescent,1000,0.2,1,602.64,127,78,61.95
132,1,GradientDescent,1000,0.4,1,602.82,147,58,71.71
133,1,GradientDescent,1000,0.6,1,612.61,136,69,66.34
134,1,GradientDescent,1000,0.9,1,612.4,174,31,84.88
135,1,GradientDescent,1000,0.01,3,1041.44,127,78,61.95
136,1,GradientDescent,1000,0.2,3,1075.54,127,78,61.95
137,1,GradientDescent,1000,0.4,3,1005.61,127,78,61.95
138,1,GradientDescent,1000,0.6,3,1000.47,127,78,61.95
139,1,GradientDescent,1000,0.9,3,2020.55,127,78,61.95
