Liczba epok,Wspolczynnik uczenia,Czas uczenia [ms],Poprawnie sklasyfikowane,Niepoprawnie sklasyfikowane,Poprawnie sklasyfikowane [%]
10,0.01,546.39,127,78,61.95
10,0.2,305.4,127,78,61.95
10,0.4,310.07,127,78,61.95
10,0.6,304.14,127,78,61.95
10,0.9,300.15,127,78,61.95
20,0.01,295.93,127,78,61.95
20,0.2,298.78,61,144,29.76
20,0.4,295.62,127,78,61.95
20,0.6,298.28,127,78,61.95
20,0.9,1838.18,127,78,61.95
50,0.01,309.5,78,127,38.05
50,0.2,313.24,127,78,61.95
50,0.4,310.25,127,78,61.95
50,0.6,304.84,127,78,61.95
50,0.9,307.46,127,78,61.95
100,0.01,326.34,119,86,58.05
100,0.2,325.84,127,78,61.95
100,0.4,319.94,127,78,61.95
100,0.6,336.02,127,78,61.95
100,0.9,331.62,127,78,61.95
200,0.01,361.14,127,78,61.95
200,0.2,363.79,127,78,61.95
200,0.4,362.75,127,78,61.95
200,0.6,355.34,127,78,61.95
200,0.9,361.99,127,78,61.95
500,0.01,452.66,127,78,61.95
500,0.2,453.08,127,78,61.95
500,0.4,449.15,127,78,61.95
500,0.6,453.15,127,78,61.95
500,0.9,453.89,153,52,74.63
1000,0.01,608.91,127,78,61.95
1000,0.2,602.64,127,78,61.95
1000,0.4,602.82,147,58,71.71
1000,0.6,612.61,136,69,66.34
1000,0.9,612.4,174,31,84.88
2000,0.01,918.42,127,78,61.95
2000,0.2,904.21,127,78,61.95
2000,0.4,954.06,176,29,85.85
2000,0.6,919.47,175,30,85.37
2000,0.9,910.73,176,29,85.85
5000,0.01,1833.74,127,78,61.95
5000,0.2,1819.79,172,33,83.9
5000,0.4,1875.42,178,27,86.83
5000,0.6,1830.06,178,27,86.83
5000,0.9,2929.03,177,28,86.34
10000,0.01,4057.23,127,78,61.95
10000,0.2,4132.36,177,28,86.34
10000,0.4,4502.97,177,28,86.34
10000,0.6,3751.62,177,28,86.34
10000,0.9,4229.5,177,28,86.34
20000,0.01,6530.84,127,78,61.95
20000,0.2,6582.96,177,28,86.34
20000,0.4,6685.04,177,28,86.34
20000,0.6,6552.18,177,28,86.34
20000,0.9,6606.48,178,27,86.83
50000,0.01,15890.95,134,71,65.37
50000,0.2,16033.5,177,28,86.34
50000,0.4,16051.75,179,26,87.32
50000,0.6,15902.31,179,26,87.32
50000,0.9,16152.83,182,23,88.78
10,0.01,580.89,78,127,38.05
10,0.2,299.42,127,78,61.95
10,0.4,295.5,127,78,61.95
10,0.6,301.83,127,78,61.95
10,0.9,294.87,127,78,61.95
20,0.01,285.95,78,127,38.05
20,0.2,289.69,127,78,61.95
20,0.4,1814.08,127,78,61.95
20,0.6,305.18,127,78,61.95
20,0.9,297.78,127,78,61.95
50,0.01,298.19,127,78,61.95
50,0.2,300.02,127,78,61.95
50,0.4,306.7,127,78,61.95
50,0.6,297.84,127,78,61.95
50,0.9,297.72,127,78,61.95
100,0.01,323.3,127,78,61.95
100,0.2,320.7,127,78,61.95
100,0.4,318.4,127,78,61.95
100,0.6,316.36,127,78,61.95
100,0.9,326.03,127,78,61.95
200,0.01,350.95,127,78,61.95
200,0.2,361.17,127,78,61.95
200,0.4,347.99,127,78,61.95
200,0.6,349.45,127,78,61.95
200,0.9,359.15,127,78,61.95
500,0.01,436.44,127,78,61.95
500,0.2,446.39,127,78,61.95
500,0.4,439.82,127,78,61.95
500,0.6,448.18,127,78,61.95
500,0.9,438.54,132,73,64.39
1000,0.01,593.31,127,78,61.95
1000,0.2,597.21,127,78,61.95
1000,0.4,589.29,171,34,83.41
1000,0.6,602.09,169,36,82.44
1000,0.9,601.97,175,30,85.37
2000,0.01,898.55,127,78,61.95
2000,0.2,897.06,167,38,81.46
2000,0.4,893.8,171,34,83.41
2000,0.6,894.5,178,27,86.83
2000,0.9,897.73,178,27,86.83
5000,0.01,2789.26,127,78,61.95
5000,0.2,1855.11,173,32,84.39
5000,0.4,1847.99,178,27,86.83
5000,0.6,1844.27,179,26,87.32
5000,0.9,1850.58,177,28,86.34
10000,0.01,3381.25,127,78,61.95
10000,0.2,3410.91,178,27,86.83
10000,0.4,3414.15,177,28,86.34
10000,0.6,3380.46,177,28,86.34
10000,0.9,3382.29,178,27,86.83
20000,0.01,6441.7,127,78,61.95
20000,0.2,6463.72,178,27,86.83
20000,0.4,6507.34,177,28,86.34
20000,0.6,6497.1,179,26,87.32
20000,0.9,6473.73,177,28,86.34
50000,0.01,15808.88,171,34,83.41
