Liczba epok,Wspolczynnik uczenia,Czas uczenia [ms],Poprawnie sklasyfikowane,Niepoprawnie sklasyfikowane,Poprawnie sklasyfikowane [%],,,Liczba epok,Wspolczynnik uczenia,Czas uczenia [ms],Poprawnie sklasyfikowane,Niepoprawnie sklasyfikowane,Poprawnie sklasyfikowane [%]
10,0.01,552.77,78,127,38.05,,,10,0.01,606.01,90.25,114.75,44.03
10,0.2,559.75,127,78,61.95,,,10,0.2,612.41,102.50,102.50,50.00
10,0.4,557.01,127,78,61.95,,,10,0.4,561.78,114.75,90.25,55.98
10,0.6,553.9,78,127,38.05,,,10,0.6,927.41,114.75,90.25,55.98
10,0.9,548.67,127,78,61.95,,,10,0.9,585.41,127.00,78.00,61.95
20,0.01,564.89,127,78,61.95,,,20,0.01,554.78,114.75,90.25,55.98
20,0.2,561.11,127,78,61.95,,,20,0.2,554.79,114.75,90.25,55.98
20,0.4,556.8,127,78,61.95,,,20,0.4,558.83,127.00,78.00,61.95
20,0.6,555.84,127,78,61.95,,,20,0.6,553.66,127.00,78.00,61.95
20,0.9,552.57,127,78,61.95,,,20,0.9,550.78,127.00,78.00,61.95
50,0.01,556.13,78,127,38.05,,,50,0.01,566.68,114.75,90.25,55.98
50,0.2,554.89,127,78,61.95,,,50,0.2,560.93,127.00,78.00,61.95
50,0.4,553.32,127,78,61.95,,,50,0.4,565.97,127.00,78.00,61.95
50,0.6,553.71,127,78,61.95,,,50,0.6,992.49,127.00,78.00,61.95
50,0.9,2239.84,127,78,61.95,,,50,0.9,993.02,127.00,78.00,61.95
100,0.01,584.37,78,127,38.05,,,100,0.01,588.29,90.25,114.75,44.03
100,0.2,583.92,127,78,61.95,,,100,0.2,1045.05,127.00,78.00,61.95
100,0.4,582.14,127,78,61.95,,,100,0.4,594.96,127.00,78.00,61.95
100,0.6,588.38,127,78,61.95,,,100,0.6,593.45,127.00,78.00,61.95
100,0.9,586.61,127,78,61.95,,,100,0.9,600.14,127.00,78.00,61.95
200,0.01,634.98,127,78,61.95,,,200,0.01,643.69,102.50,102.50,50.00
200,0.2,634.59,127,78,61.95,,,200,0.2,647.97,127.00,78.00,61.95
200,0.4,636.04,127,78,61.95,,,200,0.4,1004.80,127.00,78.00,61.95
