Liczba epok,Czas uczenia [ms],Poprawnie sklasyfikowane,Niepoprawnie sklasyfikowane,Poprawnie sklasyfikowane [%]
10,25413.5,127,78,61.95
20,26220.03,127,78,61.95
30,26398.56,172,33,83.9
50,27225.11,172,33,83.9
100,29476.52,178,27,86.83
150,28963.32,177,28,86.34
200,29559.22,177,28,86.34
250,29087.51,174,31,84.88
300,29523.32,175,30,85.37
350,32533.8,177,28,86.34
400,34618.73,127,78,61.95
450,33805.39,171,34,83.41
500,31596.76,172,33,83.9
10,25707.77,127,78,61.95
20,25538.67,127,78,61.95
30,27698.54,127,78,61.95
50,27777.47,172,33,83.9
100,27951.49,181,24,88.29
150,26575.38,176,29,85.85
200,29224.56,177,28,86.34
250,28345.26,175,30,85.37
300,26822.34,170,35,82.93
350,28277.11,174,31,84.88
400,26859.63,183,22,89.27
450,26787.55,172,33,83.9
500,31226.45,175,30,85.37
10,25993.25,127,78,61.95
20,25628.82,127,78,61.95
30,26905.29,127,78,61.95
50,29161.85,178,27,86.83
100,29845.91,174,31,84.88
150,35816.98,78,127,38.05
200,31143.16,179,26,87.32
250,33376.6,174,31,84.88
300,33478.26,175,30,85.37
350,33925.33,45,160,21.95
400,38332.21,178,27,86.83
450,31213.89,178,27,86.83
500,40803.2,175,30,85.37
10,27234.91,127,78,61.95
20,27949.5,133,72,64.88
30,28824.66,176,29,85.85
50,28931.57,175,30,85.37
100,29994.96,177,28,86.34
150,31953.74,175,30,85.37
200,29506.23,172,33,83.9
250,28601.47,175,30,85.37
300,30631.21,179,26,87.32
350,27519.36,177,28,86.34
400,29877.75,175,30,85.37
450,31005.56,174,31,84.88
500,33853.52,175,30,85.37
