Liczba epok,Czas uczenia [ms],Poprawnie sklasyfikowane,Niepoprawnie sklasyfikowane,Poprawnie sklasyfikowane [%],,,Liczba epok,Czas uczenia [ms],Poprawnie sklasyfikowane,Niepoprawnie sklasyfikowane,Poprawnie sklasyfikowane [%]
10,37589.59,127,78,61.95,,,10,39017.91,127.00,78.00,61.95
20,37639.86,127,78,61.95,,,20,39652.73,127.00,78.00,61.95
30,38337.27,127,78,61.95,,,30,40000.09,140.00,65.00,68.29
50,40343.8,127,78,61.95,,,50,42652.87,160.00,45.00,78.05
100,41011.84,172,33,83.9,,,100,46004.98,155.75,49.25,75.97
150,44428.4,180,25,87.8,,,150,46232.58,173.75,31.25,84.76
200,45235.98,176,29,85.85,,,200,46851.92,175.50,29.50,85.61
250,58815.38,174,31,84.88,,,250,54584.59,176.25,28.75,85.98
300,45858.95,145,60,70.73,,,300,48814.35,170.50,34.50,83.17
350,52887.38,181,24,88.29,,,350,50983.32,164.50,40.50,80.24
400,64946.18,181,24,88.29,,,400,74384.43,177.50,27.50,86.59
450,58938.18,175,30,85.37,,,450,56365.92,174.25,30.75,85.00
500,62195.4,169,36,82.44,,,500,59102.46,149.50,55.50,72.93
10,38148.87,127,78,61.95,,,,,,,
20,40147.03,127,78,61.95,,,,,,,
30,39657.6,179,26,87.32,,,,,,,
50,40223.09,168,37,81.95,,,,,,,
100,41655.67,180,25,87.8,,,,,,,
150,43913.08,170,35,82.93,,,,,,,
200,43800.66,173,32,84.39,,,,,,,
250,46707.73,177,28,86.34,,,,,,,
300,47900.05,178,27,86.83,,,,,,,
350,49718.55,178,27,86.83,,,,,,,
400,114197.74,174,31,84.88,,,,,,,
450,46436.62,170,35,82.93,,,,,,,
500,53324.05,174,31,84.88,,,,,,,
10,39838,127,78,61.95,,,,,,,
20,39534.19,127,78,61.95,,,,,,,
30,40337.54,127,78,61.95,,,,,,,
50,47690.04,174,31,84.88,,,,,,,
100,49470.48,144,61,70.24,,,,,,,
150,50282.31,171,34,83.41,,,,,,,
200,49744.64,178,27,86.83,,,,,,,
250,56744.97,176,29,85.85,,,,,,,
300,51532.34,181,24,88.29,,,,,,,
350,53979.88,172,33,83.9,,,,,,,
400,64421.15,180,25,87.8,,,,,,,
450,66387.63,176,29,85.85,,,,,,,
500,54341.36,78,127,38.05,,,,,,,
10,40495.16,127,78,61.95,,,,,,,
20,41289.84,127,78,61.95,,,,,,,
30,41667.96,127,78,61.95,,,,,,,
50,42354.56,171,34,83.41,,,,,,,
100,51881.91,127,78,61.95,,,,,,,
150,46306.53,174,31,84.88,,,,,,,
200,48626.39,175,30,85.37,,,,,,,
250,56070.26,178,27,86.83,,,,,,,
300,49966.06,178,27,86.83,,,,,,,
350,47347.48,127,78,61.95,,,,,,,
400,53972.64,175,30,85.37,,,,,,,
450,53701.23,176,29,85.85,,,,,,,
500,66549.04,177,28,86.34,,,,,,,
